product_id,width_min,width_max,height_min,height_max,price
auto-ventilation,500,1500,500,1200,800000
auto-ventilation,1501,2500,500,1200,1200000
auto-ventilation,2501,3500,500,1200,1600000
auto-ventilation,500,1500,1201,2000,1000000
auto-ventilation,1501,2500,1201,2000,1500000
auto-ventilation,2501,3500,1201,2000,2000000
auto-ventilation,3501,10000,2001,5000,3500000
sliding-door,500,1500,500,1500,900000
sliding-door,1501,2500,500,1500,1400000
sliding-door,2501,3500,500,1500,1900000
sliding-door,500,1500,1501,2500,1200000
sliding-door,1501,2500,1501,2500,1800000
sliding-door,2501,3500,1501,2500,2400000
sliding-door,3501,10000,2501,5000,4000000
double-window,500,1500,500,1200,600000
double-window,1501,2500,500,1200,900000
double-window,2501,3500,500,1200,1200000
double-window,500,1500,1201,2000,800000
double-window,1501,2500,1201,2000,1200000
double-window,2501,3500,1201,2000,1600000
double-window,3501,10000,2001,5000,2800000
folding-door,500,2000,500,1500,1100000
folding-door,2001,3000,500,1500,1600000
folding-door,3001,4000,500,1500,2100000
folding-door,500,2000,1501,2500,1500000
folding-door,2001,3000,1501,2500,2200000
folding-door,3001,4000,1501,2500,2900000
folding-door,4001,10000,2501,5000,4500000
